archive_name,archive_ok,member_count,member_name,suffix,size_bytes,compressed_size_bytes,error
seoul_commercial_areas.zip,True,5,서울시 상권분석서비스(영역-상권).cpg,.cpg,5,5,
seoul_commercial_areas.zip,True,5,서울시 상권분석서비스(영역-상권).dbf,.dbf,800636,54964,
seoul_commercial_areas.zip,True,5,서울시 상권분석서비스(영역-상권).prj,.prj,417,259,
seoul_commercial_areas.zip,True,5,서울시 상권분석서비스(영역-상권).shp,.shp,3642228,2058531,
seoul_commercial_areas.zip,True,5,서울시 상권분석서비스(영역-상권).shx,.shx,13300,8557,
seoul_estimated_sales_2021.zip,True,1,서울시_상권분석서비스(추정매출-상권)_2021년.csv,.csv,41190289,14569461,
seoul_estimated_sales_2022.zip,True,1,서울시_상권분석서비스(추정매출-상권)_2022년.csv,.csv,41112625,14550261,
seoul_estimated_sales_2023.zip,True,1,서울시_상권분석서비스(추정매출-상권)_2023년.csv,.csv,40887998,14481560,
seoul_estimated_sales_2024.zip,True,1,서울시 상권분석서비스(추정매출-상권)_2024년.csv,.csv,40356222,14288602,
seoul_estimated_sales_2025.zip,True,1,서울시 상권분석서비스(추정매출-상권)_2025년.csv,.csv,39698674,14034918,
seoul_stores_2021.zip,True,1,서울시_상권분석서비스(점포-상권)_2021년.csv,.csv,30665727,2131446,
seoul_stores_2022.zip,True,1,서울시_상권분석서비스(점포-상권)_2022년.csv,.csv,30837274,2140130,
seoul_stores_2023.zip,True,1,서울시_상권분석서비스(점포-상권)_2023년.csv,.csv,31066178,2175131,
seoul_stores_2024.zip,True,1,서울시 상권분석서비스(점포-상권)_2024년.csv,.csv,30972314,2155015,
seoul_stores_2025.zip,True,1,서울시 상권분석서비스(점포-상권)_2025년.csv,.csv,31051537,2119455,
